מקור,שאלה,תשובה 1,תשובה 2,תשובה 3,תשובה 4,תשובה 5,תשובה 6,תשובות נכונות,נושא,חשיבות לסדר,קישור לתמונה,הערות
שחזורים 2016 - מועד א',מה מהבאים הוכחה לכך שלכל היצורים יש אותו אב קדמון?,קיומו של גרעין תא,קיומם של כלורופלסטים,קיומם של ריסים,קיום של קוד גנטי זהה,,,4,כללי,,,
שחזורים 2016 - מועד א',"מה נכון לגבי כל היפותזה מדעית טובה?



",שניתן לבחון אותה,שניתן להפריך אותה,שניתן לענות עליה בתשובה מספרית,שניתן יהיה לחזור על התוצאות של ניסוי הבוחן אותה,1+2 נכונות,3+4 נכונות,5,כללי,,,
שחזורים 2016 - מועד א',אלו מהיסודות הבאים מרכיבים 96% מהחומר החי?,"נתרן,אשלגן,מימן, חמצן"," פחמן,מימן, חנקן, חמצן",משהו עם סידן?,"פחמן, חמצן, נתרן ומימן",,,2,כימיה של החיים,,,
שחזורים 2016 - מועד א',מה נכון לגבי קשר פולארי?,האלקטרונגטיביות של היסודות המרכיבים אותו דומה,האלקטרונגטיביות של היסודות המרכיבים אותו שונה,אין קשר בין אלקטרונגטיביות לקשר פולארי,אף תשובה אינה נכונה,,,2,כימיה של החיים,,,
שחזורים 2016 - מועד א',מהם הקשרים הנותנים למים את תכונותיהם הייחודיות?,קשרי ואן דר וואלס,קשרי מימן, קשרים יוניים ,קשרי פחמן,,,2,כימיה של החיים,,,
שחזורים 2016 - מועד א',מהי קוהזיה?,קשרים קוולנטיים בין מולקולות זהות,קשרים לא קוולנטיים בין מולקולות זהות, קשרים קוולנטיים בין מולקולות שונות, קשרים שאינם קוולנטיים בין מולקולות שונות,,,2,כימיה של החיים,,,
שחזורים 2016 - מועד א',מהם איזומרים?,מולקולות בעלות מסה שונה ומבנה מרחבי זהה,מולקולת בעלות מסה שונה ומבנה מרחבי שונה,מולקולות בעלות מסה זהה ומבנה מרחבי שונה,מולקולות בעלות מסה זהה ומבנה מרחבי זהה,,,3,כימיה של החיים,,,
שחזורים 2016 - מועד א',פחמן יכול ליצור...,עד 4 קשרים,עד 3 קשרים,עד שני קשרים,קשר אחד,,,1,כימיה של החיים,,,
שחזורים 2016 - מועד א',גליקוגן בנוי מתת יחידות של,חומצות אמינו,שומנים,סוכר,,,,3,ביולוגיה של התא,,,
שחזורים 2016 - מועד א',הקשר בין חומצות אמינו במבנה הראשוני של חלבון הוא:,קשר קוולנטי,קשר יוני,קשרי ואן דר ואלס,קשרי מימן,,,1,כימיה של החיים,,,
שחזורים 2016 - מועד א',מהו תהליך שיש בו רק אנרגיה פוטנציאלית ולא אנרגיה קינטית?,חיפושית זוחלת בחיפוש אחר מזון,מים נופלים במפלי הניאגרה,מולקולת גלוקוז,גחלילית הפולטת אור,,,??,כימיה של החיים,,,
שחזורים 2016 - מועד א',נוסח השאלה: הציור היה שאנרגיה מקטבוליזם נכנסת למעגל של ADP+P ← ATP ובין ה-ATP ל-ADP+P זה אנרגיה לשימוש לעבודה תאית (הציור היה ללא מולקולת המים),ADP ו-Pi עוצרים אנרגיה מהשלב הקטבולי (משהו כזה),ATP מתווך בין האנרגיה מהמזון לאנרגיה לעבודת התא,,,,,2,ביולוגיה של התא,,,
שחזורים 2016 - מועד א',"התגובה של הנשימה התאית, מה נכון?","חמצן מתחזר ופד""ח מתחמצן",גלוקוז מתחמצן וחמצן מתחזר,"חמצן מתחמצן ופד""ח מתחזר",חמצן מתחמצן ומים מתחזרים,,,2,ביולוגיה של התא,,,
שחזורים 2016 - מועד א',נוסח השאלה: מה ההבדל בפוטוסיתזה בין צמחים מסוג C4 לבין צמחים מסוג C3?,"צמחי C4 מגיעים לרוויה בקיבוע פד""ח יותר מהר מצמחי C3",נק' הקומפנסציה של צמחי C4 גבוהה יותר משל C3,צמחי  C4 יעשו פוטוסיתזה רק כשיהיה ריכוז גבוה של פחמן דו חמצני (או הפוך…),צמחי C3 צורכים יותר אנרגיה בקיבוע פחמן דו חמצני מאשר צמחי C4 משום שאין להם את חלבון pep.,,,??,כימיה של החיים,,,
שחזורים 2016 - מועד א',מה הקשר בין פוטוסינתזה לנשימה?,פוטוסינתזה משתמשת באותו מסלול ביוכימי של נשימה רק בצורה ההפוכה,פוטוסינתזה עוצרת אנרגיה במולקולות אורגניות ונשימה משחררת אנרגיה אצורה ממולקולות אורגניות,"נשימה מתרחשת רק בחיות, פוטוסינתזה רק בצמחים",,,,2,כימיה של החיים,,,
שחזורים 2016 - מועד א',מה הבסיס של מעגל קלווין?,?,?,ליצור סוכרים קטנים מ CO2,?,,,3,ביולוגיה של התא,,,
שחזורים 2016 - מועד א',איך מתרחשת רבייה א-מינית?,הפרייה,החלפת כרומוזומים בין תאים שונים,מיוזה,מיטוזה,שבר בכרומוזומים,,4,ביולוגיה של התא,,,
שחזורים 2016 - מועד א',מדענית השוותה בין שני תא רגיל לתא אחר וראו שבשני יש פי 1.5 יותר DNA. באיזה שלב התא השני נמצא?,G2,M,אנאפאזה,S,,,4,ביולוגיה של התא,,,
שחזורים 2016 - מועד א',מה ההסבר הכי סביר לכך שיש תא עם מספר גרעינים?,התא עבר מספר מיטוזות ולא עבר ציטוקנזה,התא עבר מספר שלבי S לפני שהתחלק,,,,,1,ביולוגיה של התא,,,
שחזורים 2016 - מועד א',לא זוכרת את המיקום של השאלה אבל היא הייתה משהו כמו איפה מתעכל מה שנאכל בפאגוציטוזה?,ליזוזום,ואקואולה,,,,,1,ביולוגיה של התא,,,
שחזורים 2016 - מועד א',"יש לו מיטוכונדריה, אנזימים ואין לו ממברנת גרעין. מה ההסבר הכי טוב לכך?",חיידק,תא בשלב המטאפאזה,,,,,2,ביולוגיה של התא,,,
שחזורים 2016 - מועד א',מה מאפיין מטאפזה,הכרומוזומים מסתדרים בequator,הגמטות נפרדות,הצנטרומר מתפרק,,,,1,ביולוגיה של התא,,,
שחזורים 2016 - מועד א',מה התפקוד העיקרי של פוספורילציה בתקשורת בין תאית?,אקטיבציה של חלבון G,יצירת קונפורמציות בחלבונים,אי-אקטיבציה של חלבון G,,,,1,ביולוגיה של התא,,,
שחזורים 2016 - מועד א',הורמון אסטרוגן אצל נשים משפיע במספר מקומות בו זמנית באופן שונה. מה מהבאים יכול להסביר זאת,רק לחלק מהתאים יש רצפטור להורמון,הוא נקשר לרצפטור של חלבונים חוצי ממברנה בתאים שונים והתגובה של כל תא שונה,התגובה של תא בו ההורמון נקשר לקולטנים תוך תאיים משתנה מתא לתא,,,,3,ביולוגיה של התא,,,
שחזורים 2016 - מועד א',מה היא דוגמה טובה להורשה מרובת גנים?,פיגמנטים בתאי עור של בני אדם,סוג דם בבני אדם ABO,,,,,1,גנטיקה,,,
שחזורים 2016 - מועד א',למה מתכוונים שאומרים שהDNA הוא דגנטרטיבי redundant?,לכל חומצה אמינית יש יותר מקודן אחד שמקודד עבורה,?,?,,,,1,גנטיקה,,,
שחזורים 2016 - מועד א',מה ההבדל בין הכלאה מונוהיברידית להכלאה דוהיברידית?,הכלאה מונוהיברידית היא בין דור אחד ובהכלאה דוהיברידית יש שני דורות,בהכלאה מונוהיברידית יש רק הורה אחד ובדוהיברידית יש שני הורים,בהכלאה דוהיברידית יש שני הורים שהם הטרוזיגוטים לשתי תכונות ובהכלאה מונוהיברידית יש הורה אחד שהוא הומוזיגוט לתכונה אחת,,,,,גנטיקה,,,שאלה לא טובה
שחזורים 2016 - מועד א',"מה נכון לגבי מיקומי מקרו מולקולות בתא בתא?
",ה-RNA בציטוזול חופשי לגמרי,בתאים צמחיים יש DNA מחוץ לגרעין ולמיטוכונדריה,,,,,2,ביולוגיה של התא,,,
שחזורים 2016 - מועד א',מהו מרחק מפה 1??,מרחק בו השכיחות של גנים שיעבור רקומבינציה הוא אחוז אחד,מרחק פיזי בין גנים,שכיחות רקומבינציה עבור גנים שלא נמצאים בתאחיזה,מרחק של ננומטר אחד,,,3,גנטיקה,,,
שחזורים 2016 - מועד א',"יש תרופה שפוגעת בפולימרציה של סיבי אקטין, איזה מהתהליכים הבאים ימשך?",ציטוקינזה,תנועת התא,תנועת וזיקולות (Vesicles) אל הגולג'י,התכווצות שרירים,,,3,,,,
שחזורים 2016 - מועד א',מי החוקר/ים שגילה שכמות הA שווה לכמו הT בDNA,3 מדענים,צ'ארגף,מתיו ועוד מישהו,הרשי וצ'ייס,,,2,גנטיקה,,,
שחזורים 2016 - מועד א',גבר חולה במחלה בתאחיזה לכרומוזום x. למי יוריש אותו?,לכל ילדיו,לכל בניו,לכל בנותיו,למחצית מבניו,,,3,גנטיקה,,,
שחזורים 2016 - מועד א',מורגן הכליא בין זבובי דרוזופילה עם עיניים אדומות. ב-F1 התקבלו זבובים עם עיניים אדומות אך גם לבנות. מורגן שם לב כי כל הזבובים עם העיניים הלבנות היו זכרים. מה זה אומר על אופן ההורשה של גן עיניים לבנות?,אוטוזומי אבל משפיע רק על זכרים,אחוז ל-X,אחוז ל-Y,,,,2,גנטיקה,,,
שחזורים 2016 - מועד א',מהו חלבון הטופואיזומראז,"להוריד את הלחץ על החלק של הדנ""א שלפני ואחרי מזלג השכפול",,,,,,1,גנטיקה,,,
שחזורים 2016 - מועד א',למה אומרים על DNA שהוא אנטיפארללי,"כי הגדילים מסודרים כך שכשבקצה של אחד מהם יש 3', אז בשני 5' ולהפך. כיוונים נגדיים",,,,,,1,גנטיקה,,,
שחזורים 2016 - מועד א',"דוקטורנט שובב מחליט לבצע ניסוי. הוא לוקח mRAN , מוריד ממנו את ה5 cap וזנב הpoly-A שלו, ומכניס אותו לתוך ציטוזול של תא אחר. מה לדעתך הכי סביר שיקרה?","יסותנז חלבון מהmRNA, אבל לאט.",הmRNA ינדוד לגרעין התא.,הmRNA יושמד כי הוא ללא הגנה בקצוות.,,,,3,גנטיקה,,,
שחזורים 2016 - מועד א',"כאשר הרפרסור לאופרון הטריפטופן מפסיק את השעתוק של האופרון, הוא?",נקשר לאינדיוסר,נקשר לפרומוטור,נקשר לרפרסור עצמו?,קשור לטריפטופן,לא קשור לטריפטופן,,?,גנטיקה,,,
שחזורים 2017 - מועד א',איך יודעים שהמקור של כל הצאצאים הוא מאב קדום משותף?,לכולם יש DNA שמורכב מאותו קוד גנטי,ריסים,לכולם יש מבנה תא זהה,את כולם ניתן לחקור מדעית,,,1,כללי,,,
שחזורים 2017 - מועד א',באיזומרים מבניים:,המסה המולקולרית שונה; התכונות הפיזיקליות שונות,המסה המולקולרית זהה; התכונות הפיזיקליות שונות,המסה המולקולרית שונה; התכונות הפיזיקליות דומות,המסה המולקולרית זהה; התכונות הפיזיקליות דומות,,,2,כימיה של החיים,,,
שחזורים 2017 - מועד א',מהי קוהזיה?,מולקולות מאותו סוג שעושות קשרים קוולנטיים,מולקולות מאותו סוג שעושות קשרים לא קוולנטיים,מולקולות שונות שעושות קשרים קוולנטיים,מולקולות שונות שעושות קשרים לא קוולנטיים,,,2,כימיה של החיים,,,
שחזורים 2017 - מועד א',איזה קשרים יכולה לבצע המולקולה המופיעה בשאלה הקודמת?,קשרים יוניים,קשרי ואן דר ואלס,קשרי מימן,קשרי פחמן,,,2,כימיה של החיים,,,
שחזורים 2017 - מועד א',הקשרים בין חומצות אמינו במבנה הראשוני של החלבון הם:,קשרים קוולנטים,קשרי מימן,קשרים יוניים,קשרים פולריים,,,1,כימיה של החיים,,,
שחזורים 2017 - מועד א',כאשר נוצר קשר בין שתי חומצות אמינו :,נוצר קשר בין קבוצה אמינית לקבוצה הידרוקסילית ונפלטת מולקולת מים,נוצר קשר בין קבוצה אמינית לקבוצה הידרוקסילית ונקלטת מולקולת מים,נוצר קשר בין קבוצה אמינית לקבוצה קרבוקסילית ונפלטת מולקולת מים,נוצר קשר בין קבוצה אמינית לקבוצה קרבוקסילית ונקלטת מולקולת מים,,,3,כימיה של החיים,,,
שחזורים 2017 - מועד א',במים נוזליים ; כל מולקולת מים יכולה לקשור?,עד 3 מולקולות מים בקשר קוולנטי,עד 3 מולקולות מים בקשרי מימן,עד 4 מולקולות מים בקשרי מימן,עד 4 מולקולות מים בקשר קוולנטי,,,3,כימיה של החיים,,,
שחזורים 2017 - מועד א',מאיזה מונומרים בנוי עמילן?,סוכרים,חומצות שומן,חומצות אמינו,שומנים,,,1,כימיה של החיים,,,
שחזורים 2017 - מועד א',היווצרות חלבונים; פחמימות וטרי-גליצרידים מתרחשים בתהליך של:,הידרציה,דה- הידרציה,קוהזיה,?,,,2,כימיה של החיים,,,
שחזורים 2017 - מועד א',יש ציור של קבוצת מתיל ושואלים איזו קבוצה זו,קבוצת הידרוקסיל שניתן למצוא במשקאות אלכוהוליים,קבוצת פוספט ש...,קבוצת מתיל שיודעת להשפיע על ביטוי גן,קבוצת צד שקובעת את אופי החלבון,,,3,כימיה של החיים,,,
שחזורים 2017 - מועד א',מה נכון לגבי הציור (ציור של אננטיומרים),תכונות ביולוגיות זהות,נקודת התכה זהה,נקודת קיטוב אור זהה,יכולת היקשרות לקולטן זהה,,,2,כימיה של החיים,,,
שחזורים 2017 - מועד א',עבור חומצת שומן טראנס; בה מיקום הקשר הכפול ואורך השרשרת זהה:,נקודת ההתכה שלה תהיה יותר גבוהה משל חומצות שומן cis,נקודת ההתכה שלה תהיה נמוכה משל חומצות שומן cis,נקודת ההתכה שלהן תהיה זהה,לא ניתן לקבוע,,,1,כימיה של החיים,,,
שחזורים 2017 - מועד א',מי מהבאים יתפקד טוב יותר בטמפרטורה גבוהה?,צמחי C3,צמחי C4,צמחים בעלי נקודת הקומפנסציה הגבוהה יותר,א+ג,ב+ג,,2,כימיה של החיים,,,
